code,name,market,type,industry,price,chg,chg_pct,score,A,B,C,D,E,F,S2h,S2m,etf_trust_5d,etf_rank,etf_chip_cnt,etf_vol_ratio,foreign_days,trust_days,broker_days,broker_conc,margin_ratio,short_ratio,big_chg,rsi,trust_d1,trust_d3,trust_d5,broker_names,broker_silent,broker_known,turnover_pct,holding_rising,trust_holding_pct,trust_pullback,volume_ratio,ma_trend,revenue_months,eps_growth,gpm_improving,tags,signal,signal_desc,scan_date
00687B,國泰20年美債,上市,STOCK,,0,0,0,20,0,0,0,0,0,1,15,4,0.0,賣超,1,0.6907,0,0,0,0,0.7,0.0,0.06,40.0,0,0,0,{},0,0,-6.3,0,0.0,0,0.81,0,0,0,0,★大戶接手 ★籌碼乾淨,NONE,,2026-05-08
00687C,國泰20年美債+櫃U,上市,STOCK,,0,0,0,18,0,0,0,0,0,1,15,2,0.0,賣超,1,0.9584,0,0,0,0,0.0,0.0,0.0,31.4,0,0,0,{},0,0,0.0,0,0.0,0,0.0,0,0,0,0,,NONE,,2026-05-08
00688L,國泰20年美債正2,上市,STOCK,,0,0,0,11,0,0,0,2,0,0,5,4,0.0,賣超,0,0.657,0,0,0,0,17.2,0.0,-0.13,44.0,0,0,0,{},0,0,-2.1,0,0.0,0,0.49,0,0,0,0,★籌碼乾淨,NONE,,2026-05-08
00689R,國泰20年美債反1,上市,STOCK,,0,0,0,30,0,0,0,15,0,1,5,9,0.0,賣超,1,0.856,0,0,0,0,0.1,0.0,-7.19,50.5,0,0,0,{},0,0,0.0,1,0.0,0,0.06,2,0,0,0,★籌碼乾淨 ★融資退場,NONE,,2026-05-08
00690,兆豐藍籌30,上市,STOCK,,0,0,0,19,0,0,0,10,0,0,5,4,0.0,賣超,0,1.3944,0,0,0,0,0.3,0.0,-0.24,85.8,0,0,0,{},0,0,-6.5,0,0.0,0,0.8,2,0,0,0,★籌碼乾淨,NONE,,2026-05-08
00692,富邦公司治理,上市,STOCK,,0,0,0,24,0,0,0,14,0,1,5,4,0.0,賣超,1,0.9402,0,0,0,0,0.0,0.0,-0.21,78.9,0,0,0,{},0,0,-9.6,0,0.02,0,0.9,2,0,0,0,★籌碼乾淨,NONE,,2026-05-08
00693U,期街口S&P黃豆,上市,STOCK,,0,0,0,37,0,0,0,15,0,3,15,4,0.0,賣超,1,0.8294,0,0,0,0,15.4,0.0,0.12,48.8,0,0,0,{},0,0,0.0,0,0.0,0,0.4,2,0,0,0,★籌碼乾淨,NONE,,2026-05-08
00694B,富邦美債1-3,上市,STOCK,,0,0,0,34,6,0,0,0,0,4,15,9,0.0,賣超,2,1.1773,4,0,0,0,0.0,0.0,0.0,36.4,0,0,0,{},0,0,47.2,1,0.0,0,0.34,0,0,0,0,★大戶接手 ★籌碼乾淨 ★融資退場,NONE,,2026-05-08
00695B,富邦美債7-10,上市,STOCK,,0,0,0,25,0,0,0,0,0,1,15,9,0.0,賣超,1,0.5726,0,0,0,0,0.0,0.0,0.36,30.6,0,0,0,{},0,0,-0.5,0,0.0,0,0.8,0,0,0,0,★籌碼乾淨 ★融資退場,NONE,,2026-05-08
00696B,富邦美債20年,上市,STOCK,,0,0,0,25,10,0,0,0,0,1,5,9,0.0,賣超,1,0.7223,11,0,0,0,0.1,0.0,-0.02,37.4,0,0,0,{},0,0,53.4,1,0.0,0,0.63,0,0,0,0,★籌碼乾淨 ★融資退場,NONE,,2026-05-08
